Investigation.Type,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Year,Model_clean
Accident,12/10/1985,"LEBANON, OR",United States,Non-Fatal,Substantial,N5790J,Cessna,cessna,No,Reciprocating,Reciprocating,Personal,0,0,0,1,vmc,Landing,Probable Cause,1985,cessna
Accident,12/01/1997,"COLLEGEVILLE, PA",United States,Fatal(2),Destroyed,N10809,Cessna,cessna,No,Reciprocating,Reciprocating,Instructional,2,0,0,0,vmc,Takeoff,Probable Cause,1997,cessna
Accident,29/12/1986,"CENTRAL, UT",United States,Non-Fatal,Substantial,N5153K,Cessna,cessna,No,Reciprocating,Reciprocating,Personal,0,3,1,0,vmc,Landing,Probable Cause,1986,cessna
Accident,11/02/1983,"MAUSTON, WI",United States,Non-Fatal,Substantial,N6126T,Cessna,cessna,No,Reciprocating,Reciprocating,Personal,0,2,0,0,vmc,Maneuvering,Probable Cause,1983,cessna
Accident,30/10/1988,"MEMPHIS, TN",United States,Non-Fatal,Substantial,N918RW,Mcdonnell Douglas,mcdonnell douglas,No,Turbo Fan,Turbo Fan,Unknown,0,0,0,42,vmc,Taxi,Probable Cause,1988,mcdonnell douglas
Accident,11/06/2010,"Minden, NV",United States,Non-Fatal,Substantial,N41KP,BURKHART GROB,burkhart grob,No,Unknown,Unknown,Personal,0,0,0,1,vmc,Unknown,"The pilot's encounter with an area of degraded lift during cruise flight, resulting in a forced off-airport landing.",2010,burkhart grob
Incident,21/01/2000,"MILWAUKEE, WI",United States,Incident,Unknown,N842JS,British Aerospace,british aerospace,No,Turbo Prop,Turbo Prop,Unknown,0,0,0,2,vmc,Taxi,Probable Cause,2000,british aerospace
Accident,20/03/2001,"ALAMOSA, CO",United States,Non-Fatal,Substantial,N9940F,Cessna,cessna,No,Reciprocating,Reciprocating,Business,0,0,0,6,vmc,Approach,Probable Cause,2001,cessna
Accident,22/05/2021,"Oak Island, MN",United States,Non-Fatal,Unknown,N218RD,DEHAVILLAND,dehavilland,No,Unknown,Unknown,Personal,0,0,1,2,vmc,Unknown,Unknown,2021,dehavilland
Accident,09/02/1995,"CONROE, TX",United States,Fatal(5),Destroyed,N5373F,Piper,piper,No,Reciprocating,Reciprocating,Personal,5,0,1,0,imc,Approach,Probable Cause,1995,piper
Accident,14/01/2015,"Pikeville, KY",United States,Non-Fatal,Substantial,N32SN,SHANNON WILLIAM,shannon william,Yes,Reciprocating,Reciprocating,Personal,0,1,0,0,vmc,Unknown,"The pilot's failure to maintain airspeed during landing, which resulted in an aerodynamic stall. Contributing to the accident was the pilot's failure to obtain a preflight weather briefing, and his subsequent flight into icing conditions, which resulted in the accumulation of ice on the airframe.",2015,shannon william
Accident,01/02/1995,"MARIETTA, GA",United States,Fatal(2),Destroyed,N103JB,Brandt,brandt,Yes,Reciprocating,Reciprocating,Personal,2,0,0,0,vmc,Takeoff,Probable Cause,1995,brandt
Accident,11/11/1982,"NEAR PARIS, AR",United States,Fatal(2),Destroyed,N736QD,Cessna,cessna,Yes,Reciprocating,Reciprocating,Business,2,0,0,0,imc,Cruise,Probable Cause,1982,cessna
Accident,16/04/2006,"FORT MYERS, FL",United States,Non-Fatal,Substantial,N417FR,Cessna,cessna,No,Reciprocating,Reciprocating,Instructional,0,2,0,0,vmc,Takeoff,Probable Cause,2006,cessna
Accident,22/04/2015,"Hartwell, GA",United States,Non-Fatal,Substantial,N5616H,PIPER,piper,No,Reciprocating,Reciprocating,Personal,0,2,0,0,vmc,Unknown,The pilot's failure to maintain directional control during the takeoff roll.,2015,piper
Accident,24/08/1984,"STRAWBERRY, CA",United States,Non-Fatal,Destroyed,N5787X,Aerospatiale,aerospatiale,No,Reciprocating,Reciprocating,Business,0,0,0,1,vmc,Landing,Probable Cause,1984,aerospatiale
Accident,28/04/1984,"CUDAHY, WI",United States,Non-Fatal,Substantial,N26404,Grumman,grumman,No,Reciprocating,Reciprocating,Personal,0,0,1,0,vmc,Cruise,Probable Cause,1984,grumman
Accident,08/06/2001,"OIL TROUGH, AR",United States,Non-Fatal,Substantial,N400ZR,Air Tractor,air tractor,No,Turbo Prop,Turbo Prop,Aerial Application,0,0,0,1,vmc,Cruise,Probable Cause,2001,air tractor
Accident,03/11/1998,"HAMILTON, ND",United States,Fatal(1),Destroyed,N285BB,Becker Wag Aero,becker wag aero,Yes,Reciprocating,Reciprocating,Personal,1,0,0,0,vmc,Cruise,Probable Cause,1998,becker wag aero
Accident,05/08/1984,"HOPE, AK",United States,Non-Fatal,Substantial,N2318M,Piper,piper,No,Reciprocating,Reciprocating,Personal,0,0,0,3,vmc,Takeoff,Probable Cause,1984,piper
Accident,01/07/2016,"Bountiful, UT",United States,Non-Fatal,Substantial,N52071,CESSNA,cessna,No,Reciprocating,Reciprocating,Instructional,0,0,0,3,vmc,Unknown,"The pilot's decision to fly into a canyon without sufficient room to reverse course if necessary, which resulted in an emergency landing, loss of directional control, collision with terrain, and a post-crash fire.",2016,cessna
Accident,14/05/2013,"Galena, KS",United States,Non-Fatal,Substantial,N57719,PIPER,piper,No,Reciprocating,Reciprocating,Aerial Application,0,1,0,0,vmc,Unknown,"The loss of engine power due to improper maintenance by an unknown individual that led to the degradation and deterioration of the No. 2 piston, which was undetected because of overdue maintenance.",2013,piper
Accident,18/05/1997,"MORRISTOWN, AZ",United States,Non-Fatal,Substantial,N8551H,North American,north american,No,Reciprocating,Reciprocating,Personal,0,0,0,1,vmc,Cruise,Probable Cause,1997,north american
Accident,15/04/1998,"ASHLAND, WI",United States,Fatal(1),Destroyed,N828CE,Cessna,cessna,No,Reciprocating,Reciprocating,Personal,1,0,0,0,vmc,Maneuvering,Probable Cause,1998,cessna
Accident,16/08/2014,"Seattle, WA",United States,Non-Fatal,Substantial,B719BL,BOEING,boeing,No,Reciprocating,Reciprocating,Personal,0,0,0,1,vmc,Unknown,The pilot's inadequate flare and failure to maintain aircraft control during landing.,2014,boeing
Accident,27/06/1999,"WAILUA, HI",United States,Non-Fatal,Substantial,N17902,Schweizer,schweizer,No,Unknown,Unknown,Instructional,0,0,1,0,vmc,Landing,Probable Cause,1999,schweizer
Accident,17/05/1990,"BIG MOUNTAIN, AK",United States,Non-Fatal,Substantial,N407WB,Piper,piper,No,Reciprocating,Reciprocating,Business,0,0,0,2,vmc,Takeoff,Probable Cause,1990,piper
Accident,21/08/1994,"BENTON CITY, WA",United States,Non-Fatal,Substantial,N47AT,Allen D. Potts,allen d. potts,Yes,Reciprocating,Reciprocating,Personal,0,0,1,1,vmc,Descent,Probable Cause,1994,allen d. potts
Accident,05/11/1985,"DULUTH, MN",United States,Non-Fatal,Substantial,N45953,Cessna,cessna,No,Reciprocating,Reciprocating,Personal,0,0,0,1,vmc,Landing,Probable Cause,1985,cessna
Accident,01/01/1997,"BITTINGER, MD",United States,Fatal(1),Destroyed,N8925S,Cessna,cessna,No,Reciprocating,Reciprocating,Personal,1,0,0,0,imc,Cruise,Probable Cause,1997,cessna
Accident,27/11/1982,"NEAR MAIDER, NC",United States,Fatal(1),Destroyed,N53460,Cessna,cessna,No,Reciprocating,Reciprocating,Personal,1,0,0,0,vmc,Maneuvering,Probable Cause,1982,cessna
Accident,22/07/1993,"HOWELL, MI",United States,Non-Fatal,Substantial,N64988,Cessna,cessna,No,Reciprocating,Reciprocating,Instructional,0,0,0,1,vmc,Takeoff,Probable Cause,1993,cessna
Accident,27/06/2014,"Littleton, NC",United States,Fatal,Substantial,N182PE,CESSNA,cessna,No,Reciprocating,Reciprocating,Personal,1,0,0,0,vmc,Unknown,"Maintenance personnel's application of sealant to the engine case halves during engine overhaul, contrary to manufacturer's instructions, which resulted in internal failure of the engine due to the loss of case bolt torque.",2014,cessna
Accident,05/06/1993,"LINDEN, NJ",United States,Non-Fatal,Substantial,N41572,Piper,piper,No,Reciprocating,Reciprocating,Personal,0,0,0,1,imc,Landing,Probable Cause,1993,piper
Accident,27/08/1994,"W. COLUMBIA, SC",United States,Non-Fatal,Substantial,N94194,Cessna,cessna,No,Reciprocating,Reciprocating,Instructional,0,0,0,1,vmc,Landing,Probable Cause,1994,cessna
Accident,12/08/1990,"SALEM, OH",United States,Non-Fatal,Substantial,N7983F,Cessna,cessna,No,Reciprocating,Reciprocating,Personal,0,0,0,2,vmc,Takeoff,Probable Cause,1990,cessna
Accident,17/09/1998,"RENO, NV",United States,Non-Fatal,Substantial,N9438V,Mooney,mooney,No,Reciprocating,Reciprocating,Personal,0,0,0,3,vmc,Landing,Probable Cause,1998,mooney
Accident,29/06/1993,"EUFAULA, OK",United States,Non-Fatal,Substantial,N4UM,Maule,maule,No,Reciprocating,Reciprocating,Personal,0,1,0,0,vmc,Go-around,Probable Cause,1993,maule
Accident,15/05/2021,"Bad Sobernheim, Germany",Germany,Non-Fatal,Substantial,D-EBEU,PIPER,piper,No,Unknown,Unknown,Instructional,0,0,2,0,UNK,Unknown,Unknown,2021,piper
Accident,04/01/2001,"EDEN, UT",United States,Non-Fatal,Substantial,N26HV,Aviat,aviat,No,Reciprocating,Reciprocating,Personal,0,0,0,1,vmc,Landing,Probable Cause,2001,aviat
Accident,27/11/2005,"Atlanta, NE",United States,Fatal(3),Destroyed,N5596F,Piper,piper,No,Reciprocating,Reciprocating,Personal,3,0,0,0,imc,Cruise,Probable Cause,2005,piper
Accident,01/07/1989,"FRUITLAND, MD",United States,Non-Fatal,Substantial,N6760D,Bell,bell,No,Reciprocating,Reciprocating,Personal,0,0,0,1,vmc,Landing,Probable Cause,1989,bell
Accident,13/05/1991,"TUTWILER, MS",United States,Non-Fatal,Substantial,N8563S,Air Tractor,air tractor,No,Reciprocating,Reciprocating,Aerial Application,0,0,1,0,vmc,Maneuvering,Probable Cause,1991,air tractor
Accident,07/06/1986,"KENOSHA, WI",United States,Non-Fatal,Substantial,N1268Z,Beech,beech,No,Reciprocating,Reciprocating,Positioning,0,0,0,2,imc,Approach,Probable Cause,1986,beech
Accident,15/02/1992,"SWANTON, OH",United States,Fatal(4),Destroyed,N794AL,Douglas,douglas,No,Turbo Fan,Turbo Fan,Unknown,4,0,0,0,imc,Go-around,Probable Cause,1992,douglas
Accident,23/04/1983,"KALISPELL, MT",United States,Non-Fatal,Substantial,N88075,Piper,piper,No,Reciprocating,Reciprocating,Personal,0,0,0,2,vmc,Approach,Probable Cause,1983,piper
Accident,14/12/1986,"EL RENO, OK",United States,Fatal(2),Destroyed,N736XP,Cessna,cessna,No,Reciprocating,Reciprocating,Personal,2,1,0,0,imc,Cruise,Probable Cause,1986,cessna
Accident,13/01/2018,"Astoria, OR",United States,Non-Fatal,Substantial,N35226,PIPER,piper,No,Reciprocating,Reciprocating,Personal,0,0,0,1,vmc,Unknown,"The control stick handgrip separation from the control stick resulting in the airplane pitching forward, which resulted in hard landing. 
",2018,piper
Accident,21/04/1993,"MINERAL POINT, WI",United States,Non-Fatal,Substantial,N2352R,Piper,piper,No,Reciprocating,Reciprocating,Instructional,0,0,0,1,vmc,Takeoff,Probable Cause,1993,piper
Accident,01/03/1989,"TOMS RIVER, NJ",United States,Non-Fatal,Substantial,N40978,Piper,piper,No,Reciprocating,Reciprocating,Unknown,0,0,0,1,vmc,Cruise,Probable Cause,1989,piper
Accident,02/04/2017,"Brinnon, WA",United States,Non-Fatal,Substantial,N167CB,CIRRUS DESIGN CORP,cirrus design corp,No,Reciprocating,Reciprocating,Instructional,0,0,2,0,vmc,Unknown,"The flight instructor's decision to fly into a valley without ensuring adequate clearance to avoid the rising terrain. 


",2017,cirrus design corp
Accident,21/07/2017,"Deatsville, AL",United States,Non-Fatal,Substantial,N342BA,LET,let,No,Unknown,Unknown,Instructional,0,1,0,0,vmc,Unknown,"The student pilots failure to maintain clearance from trees and power lines while landing.
",2017,let
Accident,28/08/2008,"Las Vegas, NV",United States,Fatal,Substantial,N212HB,PIPER,piper,No,Reciprocating,Reciprocating,Other Work Use,1,0,0,0,vmc,Unknown,"A loss of power in the right engine due to an in-flight fuel-fed fire in the right engine compartment that, while the exact origin could not be determined, was likely related to the right engine-driven fuel pump, its fuel supply line, or fitting. Contributing to the accident was the pilot's failure to adhere to the POH's procedures for responding to the fire and configuring the airplane to reduce aerodynamic drag.",2008,piper
Incident,08/12/2010,"Brasilia, Brazil",Brazil,Non-Fatal,Unknown,PR-WJU,BOEING,boeing,No,Unknown,Unknown,Unknown,0,0,0,125,UNK,Unknown,<br /><br />,2010,boeing
Accident,26/02/1984,"EL DORADO, AR",United States,Fatal(1),Destroyed,N33BP,Piper,piper,No,Reciprocating,Reciprocating,Executive/corporate,1,0,1,0,imc,Approach,Probable Cause,1984,piper
Accident,05/06/1998,"LA GLORIA, TX",United States,Fatal(3),Destroyed,N911VA,Eurocopter,eurocopter,No,Turbo Shaft,Turbo Shaft,Positioning,3,0,0,0,vmc,Cruise,Probable Cause,1998,eurocopter
Accident,19/06/2015,"Clearwater, FL",United States,Non-Fatal,Substantial,N216RW,BEECH,beech,No,Reciprocating,Reciprocating,Personal,0,0,0,1,vmc,Unknown,"The pilot's delayed completion of the before landing checklist, including the extension of the landing gear, during an approaching thunderstorm, which resulted in a landing with the landing gear in transit and the subsequent collapse of the landing gear.",2015,beech
Accident,13/08/1991,"EAGLE RIVER, AK",United States,Non-Fatal,Substantial,N1017A,Piper,piper,No,Reciprocating,Reciprocating,Personal,0,0,0,2,vmc,Takeoff,Probable Cause,1991,piper
Accident,12/07/1997,"WADSWORTH, OH",United States,Non-Fatal,Substantial,N2738V,Beech,beech,No,Reciprocating,Reciprocating,Personal,0,0,0,1,vmc,Landing,Probable Cause,1997,beech
Accident,27/10/2009,"Walsh, CO",United States,Non-Fatal,Substantial,N7464E,CESSNA,cessna,No,Reciprocating,Reciprocating,Personal,0,1,0,0,vmc,Unknown,A partial loss of engine power due to failure of the No. 2 cylinder as a result of the failure of the repair facility to properly torque the lower four nuts on the cylinder.,2009,cessna
Accident,02/11/1991,"MILTON, KS",United States,Fatal(2),Destroyed,N799V,Rockwell,rockwell,No,Turbo Prop,Turbo Prop,Personal,2,0,0,0,vmc,Maneuvering,Probable Cause,1991,rockwell
Accident,07/07/1987,"BURNET, TX",United States,Non-Fatal,Minor,N3790A,Wayne Hooks,wayne hooks,Yes,Reciprocating,Reciprocating,Personal,0,1,0,0,vmc,Takeoff,Probable Cause,1987,wayne hooks
Accident,03/07/2003,"JEROME, ID",United States,Non-Fatal,Substantial,N2869D,North American,north american,No,Reciprocating,Reciprocating,Personal,0,0,0,2,vmc,Climb,Probable Cause,2003,north american
Accident,10/08/1996,"SHELTON, WA",United States,Fatal(1),Substantial,N90865,Let,let,No,Unknown,Unknown,Personal,1,0,0,0,vmc,Maneuvering,Probable Cause,1996,let
Accident,10/04/1987,"HONOLULU, HI",United States,Non-Fatal,Unknown,N118MP,Nihon,nihon,No,Turbo Prop,Turbo Prop,Unknown,0,1,3,39,vmc,Takeoff,Probable Cause,1987,nihon
Accident,26/12/1998,"MIDLAND, TX",United States,Fatal(3),Destroyed,N182FE,Cessna,cessna,No,Reciprocating,Reciprocating,Personal,3,0,0,0,vmc,Approach,Probable Cause,1998,cessna
Accident,18/08/2006,"RED BLUFF, CA",United States,Non-Fatal,Substantial,C-GOBC,Cessna,cessna,No,Reciprocating,Reciprocating,Personal,0,0,1,0,vmc,Takeoff,Probable Cause,2006,cessna
Accident,15/02/1989,"SKWENTNA, AK",United States,Non-Fatal,Substantial,N35038,Piper,piper,No,Reciprocating,Reciprocating,Business,0,0,0,1,vmc,Landing,Probable Cause,1989,piper
Accident,07/05/1998,"FARGO, GA",United States,Fatal(1),Destroyed,N4BN,Piper,piper,No,Reciprocating,Reciprocating,Personal,1,0,0,0,vmc,Takeoff,Probable Cause,1998,piper
Accident,07/08/2004,"DE LEON, TX",United States,Non-Fatal,Substantial,N78616,Enstrom,enstrom,No,Reciprocating,Reciprocating,Aerial Observation,0,0,2,1,vmc,Maneuvering,Probable Cause,2004,enstrom
Accident,22/08/1982,"UTICA, NY",United States,Non-Fatal,Substantial,N4950M,Piper,piper,No,Reciprocating,Reciprocating,Personal,0,0,0,2,vmc,Landing,Probable Cause,1982,piper
Accident,03/04/2002,"MATINICUS, ME",United States,Non-Fatal,Substantial,N1523U,Cessna,cessna,No,Reciprocating,Reciprocating,Other Work Use,0,0,0,1,vmc,Approach,Probable Cause,2002,cessna
Accident,04/09/1990,"DURANGO, CO",United States,Non-Fatal,Substantial,N5241C,Cessna,cessna,No,Reciprocating,Reciprocating,Personal,0,0,0,2,vmc,Approach,Probable Cause,1990,cessna
Accident,13/06/1999,"JEANNETTE, PA",United States,Non-Fatal,Substantial,N81081,Flaherty,flaherty,Yes,Reciprocating,Reciprocating,Personal,0,0,0,2,vmc,Approach,Probable Cause,1999,flaherty
Accident,30/06/1995,"BLOCK ISLAND, RI",United States,Non-Fatal,Substantial,N316LM,Helio,helio,No,Reciprocating,Reciprocating,Personal,0,0,0,6,vmc,Takeoff,Probable Cause,1995,helio
Accident,05/09/1999,"KENAI, AK",United States,Non-Fatal,Substantial,N3903Z,Piper,piper,No,Reciprocating,Reciprocating,Personal,0,0,2,0,vmc,Maneuvering,Probable Cause,1999,piper
Accident,11/03/1984,"SONOMA, CA",United States,Non-Fatal,Substantial,N23882,Piper,piper,No,Reciprocating,Reciprocating,Instructional,0,0,0,1,vmc,Takeoff,Probable Cause,1984,piper
Accident,12/03/1989,"ARCADIA, FL",United States,Non-Fatal,Substantial,N66374,Cessna,cessna,No,Reciprocating,Reciprocating,Personal,0,0,0,2,vmc,Landing,Probable Cause,1989,cessna
Accident,04/04/1983,"BORING, OR",United States,Non-Fatal,Substantial,N87110,Erco,erco,No,Reciprocating,Reciprocating,Personal,0,0,0,1,vmc,Cruise,Probable Cause,1983,erco
Accident,17/11/1982,"ELIM, AK",United States,Non-Fatal,Substantial,N2780D,Cessna,cessna,No,Reciprocating,Reciprocating,Business,0,1,0,1,vmc,Maneuvering,Probable Cause,1982,cessna
Accident,30/11/1984,"ALLEGAN, MI",United States,Non-Fatal,Substantial,N84360,Aeronca,aeronca,No,Reciprocating,Reciprocating,Personal,0,0,0,1,vmc,Takeoff,Probable Cause,1984,aeronca
Accident,07/12/2018,"Spain, Spain",Spain,Fatal,Destroyed,D-ECGS,CESSNA,cessna,No,Unknown,Unknown,Unknown,2,0,0,0,UNK,Unknown,Unknown,2018,cessna
Accident,28/01/2011,"Huntsville, TX",United States,Non-Fatal,Substantial,N8023P,PIPER,piper,No,Reciprocating,Reciprocating,Personal,0,0,0,2,vmc,Unknown,"The pilots inadequate preflight inspection to ensure the main tanks were full, which resulted in a total loss of engine power due to fuel starvation.",2011,piper
Accident,27/03/1987,"SHELBYVILLE, TN",United States,Non-Fatal,Destroyed,N654Y,Grumman,grumman,No,Reciprocating,Reciprocating,Aerial Application,0,0,0,1,vmc,Takeoff,Probable Cause,1987,grumman
Accident,16/06/1983,"PETERSBURG, AK",United States,Non-Fatal,Destroyed,N1820X,Cessna,cessna,No,Reciprocating,Reciprocating,Personal,0,0,0,1,imc,Cruise,Probable Cause,1983,cessna
Accident,04/08/1988,"NORTH BEND, OR",United States,Non-Fatal,Substantial,N151LC,Bell,bell,No,Turbo Shaft,Turbo Shaft,Other Work Use,0,0,1,0,vmc,Maneuvering,Probable Cause,1988,bell
Accident,18/04/2009,"Embden, ME",United States,Non-Fatal,Substantial,N60537,CESSNA/AIR REPAIR INC,cessna/air repair inc,No,Reciprocating,Reciprocating,Personal,0,0,0,1,vmc,Unknown,The pilot's failure to obtain the proper touchdown point while landing.,2009,cessna/air repair inc
Accident,17/09/2002,"Carlsbad, CA",United States,Fatal(3),Destroyed,N1828A,Beech,beech,No,Reciprocating,Reciprocating,Instructional,3,0,0,0,vmc,Takeoff,Probable Cause,2002,beech
Accident,09/11/2003,"Wooster, OH",United States,Non-Fatal,Minor,N66748,Cessna,cessna,No,Reciprocating,Reciprocating,Instructional,0,0,0,3,vmc,Landing,Probable Cause,2003,cessna
Accident,29/10/2012,"Long Beach, CA",United States,Non-Fatal,Substantial,N48340,CESSNA,cessna,No,Reciprocating,Reciprocating,Instructional,0,0,0,1,vmc,Unknown,The student pilot's improper landing flare and recovery from a bounced landing.,2012,cessna
Accident,29/09/1985,"DELTA, OH",United States,Non-Fatal,Substantial,N24278,Cessna,cessna,No,Reciprocating,Reciprocating,Personal,0,0,0,1,vmc,Landing,Probable Cause,1985,cessna
Accident,07/10/2002,"SOMERSET, PA",United States,Non-Fatal,Substantial,N6652N,Taylorcraft,taylorcraft,No,Reciprocating,Reciprocating,Ferry,0,0,0,2,vmc,Takeoff,Probable Cause,2002,taylorcraft
Accident,18/04/1984,"HOLDREGE, NE",United States,Non-Fatal,Substantial,N1961T,Piper,piper,No,Reciprocating,Reciprocating,Instructional,0,0,0,1,vmc,Landing,Probable Cause,1984,piper
Accident,26/10/2003,"Spartanburg, SC",United States,Fatal(1),Destroyed,N7799Y,Piper,piper,No,Reciprocating,Reciprocating,Business,1,0,0,0,imc,Approach,Probable Cause,2003,piper
Accident,30/03/2016,"Long Island, NC",United States,Non-Fatal,Substantial,N4212B,BEECH,beech,No,Reciprocating,Reciprocating,Personal,0,1,0,2,vmc,Unknown,"The pilot's decision to maneuver at low altitude, which resulted in a collision with power lines and substantial damage to the vertical stabilizer.",2016,beech
Accident,09/06/1998,"GALLIANO, LA",United States,Non-Fatal,Destroyed,N96VG,Gisclair,gisclair,Yes,Reciprocating,Reciprocating,Personal,0,0,1,0,vmc,Takeoff,Probable Cause,1998,gisclair
Accident,22/07/2015,"Tifalmin Village Papua New Guinea, Papua New Guinea",Papua New Guinea,Non-Fatal,Substantial,P2-HCB,BELL,bell,No,Unknown,Unknown,Unknown,0,1,0,0,UNK,Unknown,Unknown,2015,bell
Accident,30/01/1992,"MALABAR, FL",United States,Fatal(2),Destroyed,N2313G,Robinson,robinson,No,Reciprocating,Reciprocating,Instructional,2,0,0,0,vmc,Cruise,Probable Cause,1992,robinson
Accident,24/09/1995,"LUDINGTON, MI",United States,Non-Fatal,Substantial,N6725P,Piper,piper,No,Reciprocating,Reciprocating,Personal,0,1,0,0,vmc,Cruise,Probable Cause,1995,piper
Accident,06/08/1988,"HALLEY, ID",United States,Non-Fatal,Substantial,N3PH,Beech,beech,No,Reciprocating,Reciprocating,Personal,0,0,0,2,vmc,Cruise,Probable Cause,1988,beech
Accident,02/04/1997,"LAFAYETTE, IN",United States,Non-Fatal,Substantial,N6148H,Piper,piper,No,Reciprocating,Reciprocating,Instructional,0,0,0,2,vmc,Landing,Probable Cause,1997,piper
Accident,06/08/1982,"OPP, AL",United States,Non-Fatal,Substantial,N6637Q,Grumman,grumman,No,Reciprocating,Reciprocating,Aerial Application,0,0,0,1,vmc,Landing,Probable Cause,1982,grumman
Accident,28/06/1994,"FIREBAUGH, CA",United States,Fatal(1),Destroyed,N4230X,Rockwell,rockwell,No,Reciprocating,Reciprocating,Aerial Application,1,0,0,0,vmc,Maneuvering,Probable Cause,1994,rockwell
Accident,02/08/2008,"Glendale, AZ",United States,Non-Fatal,Substantial,N21721,Air Creation,air creation,No,Reciprocating,Reciprocating,Personal,0,0,0,2,vmc,Unknown,The airplane's encounter with a dust devil.,2008,air creation
Accident,17/08/2012,"Tribune, KS",United States,Non-Fatal,Substantial,N6006J,CESSNA,cessna,No,Reciprocating,Reciprocating,Personal,0,0,1,0,vmc,Unknown,The pilot's failure to maintain clearance from a corn crop.,2012,cessna
Accident,15/02/2001,"Borger, TX",United States,Fatal(2),Destroyed,N4002M,Robinson,robinson,No,Reciprocating,Reciprocating,Personal,2,0,0,0,imc,Cruise,Probable Cause,2001,robinson
Accident,27/04/1982,"CHAPELL HILL, TX",United States,Fatal(1),Destroyed,N1774B,Boeing,boeing,No,Reciprocating,Reciprocating,Aerial Application,1,0,0,0,vmc,Maneuvering,Probable Cause,1982,boeing
Accident,05/05/2014,"Hessmer, LA",United States,Non-Fatal,Substantial,N7309Z,AIR TRACTOR INC,air tractor inc,No,Reciprocating,Reciprocating,Aerial Application,0,0,0,1,vmc,Unknown,A partial loss of engine power for reasons that could not be determined because a full examination of the engine could not be performed.,2014,air tractor inc
Accident,02/04/1983,"BALTIMORE, MD",United States,Non-Fatal,Unknown,N8415,Boeing,boeing,No,Turbo Fan,Turbo Fan,Unknown,0,1,0,190,vmc,Descent,Probable Cause,1983,boeing
Accident,30/09/1989,"KIANA CREEK, AK",United States,Non-Fatal,Substantial,N83381,Piper,piper,No,Reciprocating,Reciprocating,Business,0,0,0,2,vmc,Takeoff,Probable Cause,1989,piper
Accident,06/11/2010,"Hot Springs, VA",United States,Non-Fatal,Substantial,N71102,LUSCOMBE,luscombe,No,Reciprocating,Reciprocating,Personal,0,0,0,1,vmc,Unknown,The pilot's inadequate compensation for the crosswind during landing.,2010,luscombe
Accident,13/04/2015,"Shelter Island, NY",United States,Non-Fatal,Substantial,N30283,CESSNA AIRCRAFT CO,cessna aircraft co,No,Reciprocating,Reciprocating,Personal,0,0,1,0,vmc,Unknown,"The pilot's failure to attain adequate airspeed after takeoff and his exceedance of the airplanes critical angle-of-attack during the initial climb, which resulted in an aerodynamic stall at too low an altitude to recover.",2015,cessna aircraft co
Accident,29/06/1982,"PHOENIX, AZ",United States,Fatal(1),Destroyed,N26668,Grumman American,grumman american,No,Reciprocating,Reciprocating,Personal,1,0,0,0,vmc,Maneuvering,Probable Cause,1982,grumman american
Accident,12/11/1983,"KURTHWOOD, LA",United States,Non-Fatal,Substantial,N9333H,Cessna,cessna,No,Reciprocating,Reciprocating,Personal,0,1,0,1,vmc,Landing,Probable Cause,1983,cessna
Accident,28/12/2004,"Fairmont Hot Sp, Canada",Canada,Fatal(1),Destroyed,N313AL,Robinson,robinson,No,Unknown,Unknown,Personal,1,0,0,0,vmc,Unknown,Foreign,2004,robinson
Accident,09/07/1982,"NEAR ZANESVILLE, OH",United States,Non-Fatal,Substantial,N32NA,Grumman American,grumman american,No,Reciprocating,Reciprocating,Personal,0,0,0,1,vmc,Cruise,Probable Cause,1982,grumman american
Accident,17/02/2001,"HASLET, TX",United States,Non-Fatal,Substantial,N8355L,Piper,piper,No,Reciprocating,Reciprocating,Personal,0,1,3,0,vmc,Descent,Probable Cause,2001,piper
Accident,03/08/1992,"SPRINGFIELD, MO",United States,Non-Fatal,Unknown,N357SW,Boeing,boeing,No,Turbo Fan,Turbo Fan,Unknown,0,1,1,65,imc,Descent,Probable Cause,1992,boeing
Accident,31/12/1988,"CLEARWATER, FL",United States,Non-Fatal,Substantial,N70319,Air Command,air command,Yes,Reciprocating,Reciprocating,Personal,0,1,0,0,vmc,Approach,Probable Cause,1988,air command
Accident,25/07/1983,"KEMAH, TX",United States,Non-Fatal,Unknown,N1109,Hughes,hughes,No,Turbo Shaft,Turbo Shaft,Personal,0,1,0,1,vmc,Maneuvering,Probable Cause,1983,hughes
Accident,17/03/2010,"Bakersfield, CA",United States,Fatal,Substantial,N75AG,NORTH AMERICAN,north american,No,Reciprocating,Reciprocating,Personal,2,0,0,0,vmc,Unknown,The pilots did not maintain clearance from terrain for undetermined reasons.,2010,north american
Accident,07/06/1986,"BEAR TRAP, ID",United States,Non-Fatal,Destroyed,N5077V,Varga,varga,No,Reciprocating,Reciprocating,Instructional,0,0,2,0,vmc,Approach,Probable Cause,1986,varga
Accident,28/05/1982,"CANYON LAKE, TX",United States,Non-Fatal,Destroyed,N80022,Consolidated Aeronautics Inc.,consolidated aeronautics inc.,No,Reciprocating,Reciprocating,Personal,0,0,0,1,vmc,Takeoff,Probable Cause,1982,consolidated aeronautics inc.
